audio_path|speaker_id|speaker_name|role|gender|language|start_sec|end_sec|duration|text|text_words|text_chars|style|sample_rate
wavs/SPEAKER_01/0001_00003.02-00030.64.wav|G|Гүлзада Таалайбекова|host|F|ky|3.02|30.64|27.62|ассалому алейкум сүйүктүү көрөрмандар жана ошондой эле угармандар эфирде сиздер айымдар ааламы берүүсүн көрүп отурасыздар сиздер менен болгон мен гүлзада таалайбекова кадырлуу көрөрмандар бүгүн сиздер менен буюрса сөздүн күчү туурасында маек кылмакчыбыз бүгүн бизде конокто сөз чеберинин ээси биз сүйгөн эжекебиз телеис жана илимпоз айым нуркыз кадырбекова ассалам алейкум нуркыз эже бүгүнкү биздин эфирибизге кош келипсиз|56|422|conversational|44100
wavs/SPEAKER_00/0001_00030.64-00034.64.wav|N|Нуркыз Кадырбекова|guest|F|ky|30.64|34.64|4.00|арыбаңыздар алейкум ассалам куш убак болуңуздар кубанычтамын|7|60|conversational|44100
wavs/SPEAKER_01/0002_00034.65-00042.40.wav|G|Гүлзада Таалайбекова|host|F|ky|34.65|42.40|7.75|сизди көрүп жаткандыгыбызга абдан биз дагы кубанычтабыз кандай учуп келип алдыңыз эң эле алгач өзүңүз ден соолугуңуздан сурап баштайлы|19|134|conversational|44100
wavs/SPEAKER_00/0002_00042.40-00050.65.wav|N|Нуркыз Кадырбекова|guest|F|ky|42.40|50.65|8.25|сонун болду анан ошол абада учуп келатып марванын студиясында бир кудай пайдалуу эфир кылгай деп дуба кылып келдик ниет|19|119|conversational|44100
wavs/SPEAKER_01/0003_00050.65-00070.08.wav|G|Гүлзада Таалайбекова|host|F|ky|50.65|70.08|19.43|амин рахмат эмесе бүгүн эфирибизди баштай берсек алгач сурообуз бул жерде негизи буттан жыгылган турат тилден жыгылган турбайт деген жакшы бир макал бар эмеспибизд элибизде анан негизи сөздүн күчү касиети туурасында алгач кеп кылсаңыз ушул боюнча жакшыраак маалымат алалы деп атабыз|41|282|conversational|44100
wavs/SPEAKER_00/0003_00070.98-00145.72.wav|N|Нуркыз Кадырбекова|guest|F|ky|70.98|145.72|74.74|негизи дүйнөдө деги эле адам аттууда башка жаныбардан айырмалаган биздин тилибиз да акыл эсибиз ыйманыбыз бирок ошону чыгарып бири бибизге жеткире турган бул тилибиз болуп эсептелинет анын ичине дагы биз сыяктуу кыргыз сыяктуу элде сөзгө иш арага маани берген макалдатып сүйлөгөн жарым миллион сап манасты сактаган жеткирген кыргыздай элде сөздүн орду наркы өтө чоң ошон үчүн тилден жыгылган турбайт өнөр алды кызыл тил сөзүм оозуман чыкканча мен анын ээсимин чыккандан кий н мен анын кулумун деген жоопкерчиликтүү сөздөрдү айтып келген жагдайыбыз ушул анан азыр кимди тааныйсың десең ушундай бир таанымал падышалар өтүптүр жолбашчылар өтүптүр жыйырма жылда отурган министрлер болуптур бирок эмнегедир биз айтматовду айтабыз алыкулду айтабыз саякбайды тааныйм дейбиз анан чечен чечен сөз баккан элден чыккан өнөрпоздорду тааныйбыз да бул дагы сөз баккан табиятыбыздан кабар берет болбосо баланча деген математик чыгыптыр деп айтсак деле болот аларга даг ыраазычылык бирок алар да өз илимин сөз менен тил менен жеткиргендигин белгилегенде сөздүн көркүн дагы шаңкайып ачыла түшөт да|156|1080|conversational|44100
wavs/SPEAKER_01/0004_00145.72-00182.72.wav|G|Гүлзада Таалайбекова|host|F|ky|145.72|182.72|37.00|ашаба жакшы айттыңыз бул жерден карап биздин эле кыргыз агартуучуларыбыз канчалык ушунчалык жан дүйнөсү таза жана ошондо сөзгө ушунчалык чечен болгон экендигин дагы бир жолу көрүп турабыз анан негизи айтаарым бүгүнкү күндө деле мисалы коомчулукта деле арасында сөздөн адашуу ошол эле учурда оюбузду жоготуп алып толкун сүрдөнүү бул ар бир инсанда эле болуп келет го негизи ушул туурасындакеп кысөздү түшүндүрө албай эле кыйналган жагдайлар көп болот да|67|452|conversational|44100
wavs/SPEAKER_00/0004_00182.72-00410.00.wav|N|Нуркыз Кадырбекова|guest|F|ky|182.72|410.00|227.28|ооба негизи сөздү туура жеткирүү анын көркөмдүүлүгүн арттыруу бул биринчи адамдын айтабыз да илимине билимине сөз байлыгына депчи илим менен билим сөз байлык деле жеткире алуу деле адамдын ниети менен дилине байланыштуу болот анткени баягы сөз жан дүйнөбүздө үйүлүп турган бермес шороп сыяктуу сөздөр болот да ошону сүйлөгөндө тилибизде чыгат эгерде дилибизде ниетибизде ошол нерселер жок болсо эмнени сузуп алсак ошол чыгат да ошондуктан сүрдөнүү өзүн жоготуу көңүлдөгүдөй баягы оюн бере албай калуу жылдан жылга күч алып жаткан болсо анда ниет менен дилди бир оңдоп коюшубуз керек анан экинчи нерсе бул сөз байлык болмоюнча аны шорудай кылып тизүү мүмкүн эмес айталы сиз аябай чеберсиз аябай сонун бир кемселдерди күрмө чапандарды тигесиз дизайнердик бирок сизде сонун кездеме түстүү түмөн жибек жиптер анан арасына кошчу шурулар сапаттуу сапаттуу жанагы тиш таштар болбосо эмнени тигесиз сиз кантип кооз коласыз аябай чеберчилигиңиз сонун бирок жок тигинин баары болуш керек ошол сыяктуу экинчи нерсе ошол сөз баккан адамдардын чөйрөсүндө болуп ошону колдонуп анан ошол нерсени практикалап ошого артыкчылык берип үйрөнүш керек бизде бир ушундай бир тенденция мода болду совет бийлиги таркагандан кийин кайра куруу мезгилдеринден кийин бир өзүбүздү изденүү мезгилине келгенде эптеп эле нан таап жашаган аябай эртең наным жок болуп кандай болом деген сан аркоо пайда болду да ошондон улам материалдык байлык биринчи орунга чыгып ай билим албасаң жок могу эки диплому менен каражат таппай атат андан көрө кичине ишкерлик кыл бир өнөр үйрөнүп ал же мигрант болуп тыйын сала койг деген нерседен улам сөзгө маани бербей какап чакап оюбузы аксап калгандыгы чындык мен бир мезгилде жолдошум экөөбүз университетте окуп жүргөн мезгилде биздин жаштыгыбыз аябай оор мезгилге туура келди да анан жолдошум ушул медицина факультетинде бир курстан бир курска секирип окуган тарыхындагы жалгыз студент мен кыргыз филология факультетинин тарыхындаг биринчи президенттик стипендиямын анан бир курбум россияда барып иштеп келип анан документациясы иши бүтпөй окуусу калып кеткен экен үйгө келип анан аи силер кандай окудуңар эле кандай окудуңар эле анан ушул беш бөлмөлүү үйдө жашайсыңарбы мен тиги бишкекте баткен базарынын жанында эки кабат үйүм бар деп айтты да анан мен күлүп айттым да эмнеге эмнеге биз ошентсек силер укмуш окугансыңар эмнеге жакшы жашаш керек деп атасың анан айттык бул беш бөлмөнү деле жакында эле алдык үч эле бөлмө болчу аны деле жакында эле алдык деп ошентсем ойлонуп калды эле анан айттым бирок сенин эки кабат үйүң болсо деле иш бүтүргөнү мага келесиң да депчи демек илим билимге сөзгө наркка басым жасаган кесип менен жашоо образына артыкчылык бермейинче биз онтой беребиз бул биринчи көйгөй экинчи көйгөй сөзсүз түрдө күнүмдүк жашоодо сонун сүйлөөнү киргизиш керек бизде качан сонун сүйлөйбүз көчөдө бирөөгө тойдо же болбосо микрофон суна койсо же тааныбаган адамдардын чөйрөсүндө а үйдө барчаары тиги төрт бурчтук сурооңду бербечи мээмди ачыттың жонуңдан кайыш алам өпкөңдү үзөм кирпигиңден асам деген гана сөздөр колдонот ошон үчүн сөз байлык сонун болуш үчүн күндө колдонуп турган сөздөр оңой эми күндө эле баягы билесизби кудряшка сю деген кинодо күрмөңдү илип эле кайра ордуна кое бер дейт анан сага ошол адам оңой болуп калат деп түшүндүрөт аны сыңарындай сүйлөгөндө карбаластабай аптыкпай сөзүбүздү таппай сүрдөбөй калыш үчүн күндө ошентип сүйлөш керек бул экинчи маселе|510|3391|conversational|44100
wavs/SPEAKER_01/0005_00410.00-00413.50.wav|G|Гүлзада Таалайбекова|host|F|ky|410.00|413.50|3.50|демек буга биз күндө мээнет кылышыбыз керек|7|43|conversational|44100
wavs/SPEAKER_00/0005_00413.50-00415.50.wav|N|Нуркыз Кадырбекова|guest|F|ky|413.50|415.50|2.00|мэнет кылышыбыз курбандык салшыбыз керекандык|5|45|conversational|44100
